,sold_quantity
30651,4.1
30434,0.0
117571,0.0
153928,0.3
130920,0.0
105147,0.0
20302,0.05
33595,0.75
117348,0.0
9959,0.0
4371,0.5
22037,0.75
93859,0.0
144391,0.0
115784,0.25
140859,0.8
15852,0.25
165363,0.0
167542,0.0
133487,0.0
82769,0.0
40787,3.0
138740,0.4
136487,0.0
84213,0.0
112932,0.0
114200,0.0
15477,0.0
155069,1.0
151291,0.0
107707,0.0
162486,0.0
145387,0.0
166374,131.75
18715,0.0
144781,0.0
139294,1.15
56569,4.65
11725,4.45
6048,3.75
50243,0.0
65526,0.0
103077,0.0
20170,0.2
125891,0.0
48860,0.0
54337,2.45
81281,0.3
139114,0.0
27015,0.0
635,6.0
56834,0.25
102512,0.0
96786,0.7
100210,0.0
40454,0.25
52932,0.5
141362,3.35
73860,2.15
4700,1.1
91566,0.1
33239,0.75
18056,0.95
51286,0.0
97689,1.5
103405,0.0
131356,0.0
94101,0.0
121275,0.0
107310,0.0
31236,0.0
94766,1.0
19724,0.0
23346,15.3
141738,7.2
23035,0.0
75052,0.4
104898,3.9
36514,0.0
61662,0.5
38410,41.15
164096,0.0
66070,0.25
119833,0.0
149648,0.55
79192,0.0
110788,0.1
126773,0.0
144900,0.0
121967,0.0
7408,0.0
31230,0.0
68779,0.0
157715,0.0
165525,2.65
72412,0.0
161811,0.0
106955,0.9
160742,0.0
46137,1.0
115190,0.7
99842,0.0
27731,0.0
138966,0.2
115628,0.3
9972,0.0
133555,0.0
106895,0.0
146650,3.65
48101,2.05
23168,0.0
168081,0.0
37612,8.75
76833,0.0
33169,0.0
51336,0.8
26456,0.1
56268,0.0
151722,0.0
13089,0.0
95683,0.0
141278,0.0
89852,0.05
57019,3.4
33038,0.0
84192,1.0
76715,0.0
111606,0.0
110676,0.0
64974,0.0
166207,0.0
131349,0.0
65108,0.25
9436,0.0
155632,0.0
42746,6.25
50305,0.0
85300,0.0
164287,0.05
157567,0.0
104196,0.0
16775,0.75
24815,0.0
80769,2.65
80075,0.0
137394,2.5
109900,0.0
116978,0.0
146869,2.5
90829,0.0
129177,2.9
125809,2.15
164083,0.0
158691,0.0
5320,0.0
129071,1.75
114804,0.003
19065,0.0
52057,0.0
108418,0.0
166629,3.3
16211,0.0
38288,0.2
22179,0.75
39619,0.0
156823,0.0
27079,3.25
126952,0.0
101400,1.15
90346,0.35
150154,0.0
38592,0.2
146976,1.5
87810,0.15
13665,2.05
130530,0.0
34886,0.0
127477,2.5
133909,0.0
111892,2.5
120951,0.15
167368,0.0
85299,7.5
65667,0.0
13003,2.65
97685,3.1
138834,0.0
65158,2.75
57781,0.25
133790,0.0
127740,0.0
81775,0.0
55986,1.35
139751,0.5
56928,3.6
132352,0.85
98020,14.2
63818,0.0
103543,0.0
41328,0.05
107504,0.0
73680,0.1
27120,0.7
144296,0.0
10963,0.0
104835,0.85
10068,0.0
129455,2.65
156594,0.0
17364,0.0
63302,0.0
14948,0.0
16113,0.0
13416,60.0
168078,0.15
148656,0.0
11506,0.0
52657,0.0
89951,0.0
24756,34.3
54368,0.0
30136,1.75
3004,0.25
48072,0.0
72842,0.0
102721,2.75
155875,0.25
71356,2.35
169297,5.0
49249,0.0
56951,1.2
127935,0.0
25930,0.0
66266,2.3
166449,141.2
46151,0.1
126828,1.151
41168,3.2
160180,0.0
113201,1.25
157288,1.9
24977,0.0
45736,0.0
22679,0.25
62971,0.0
52982,0.0
39950,0.0
151145,0.55
24142,0.0
63757,1.35
77557,0.2
83461,1.75
153436,1.7
33758,0.2
99307,0.9
72296,0.25
155682,0.05
45001,0.0
59502,1.5
133311,0.15
100913,0.0
102519,0.05
72543,5.35
159783,0.0
104129,2.25
61122,0.2
54517,0.0
144601,2.0
58001,0.0
152476,0.0
107066,0.0
156951,0.0
58322,0.0
95071,0.0
54641,6.0
115962,1.3
8209,0.0
97805,0.4
111917,0.0
56219,4.65
56542,0.3
43174,0.0
154676,0.5
149002,0.05
51859,0.0
109705,0.0
163780,23.4
79884,2.15
30181,0.0
139108,0.0
